"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"WT yeast Hi-C paired-end seq reads (R1)","Hi-C performed on wild-type S288C yeast strain. Only the first 100,000 reads from R1 are recovered. Data recovered from SRA run results SRR13994279.",3.16,"S288C","TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/HiC_wt_yeast.R1.fq.gz","HiCData"
"WT yeast Hi-C paired-end seq reads (R2)","Hi-C performed on wild-type S288C yeast strain. Only the first 100,000 reads from R2 are recovered. Data recovered from SRA run results SRR13994279.",3.16,"S288C","TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/HiC_wt_yeast.R2.fq.gz","HiCData"
"WT yeast Hi-C HiCool processing log","Hi-C performed on wild-type S288C yeast strain. Only the first 100,000 reads from R{1,2} are recovered. Reads were mapped onto S288c genome reference using HiCool. Data recovered from SRA run results SRR13994279.",3.16,"S288C","TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/HiC_wt_yeast.HiCool.log","HiCData"
"WT yeast .pairs file","Hi-C performed on wild-type S288C yeast strain processed with tinyMapper and represented as a filtered pairs file. Data representation derived from SRA run results SRR13994279.",3.16,"S288C","TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/S288C.pairs.gz","HiCData"
"WT yeast .cool contact matrix @ 1kb","Hi-C performed on wild-type S288C yeast strain processed with tinyMapper and represented as a single-resolution .cool file. Data representation derived from SRA run results SRR13994279.",3.16,"S288C","HDF5","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/S288C.cool","HiCData"
"WT yeast .mcool contact matrix","Hi-C performed on wild-type S288C yeast strain processed with tinyMapper and represented as a multi-resolution .mcool file. Data representation derived from SRA run results SRR13994279.",3.16,"S288C","HDF5","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/S288C.mcool","HiCData"
"WT yeast .hic contact matrix","Hi-C performed on wild-type S288C yeast strain processed with Juicer and represented as a multi-resolution .hic file. Data representation derived from SRA run results SRR13994279.",3.16,"S288C","TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/S288C.hic","HiCData"
"WT yeast HiC-Pro matrix file @ 1kb","Hi-C performed on wild-type S288C yeast strain processed with `nf-core/hic` and represented as a single resolution matrix file. Data representation derived from SRA run results SRR13994279.",3.16,"S288C","TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/S288C.hicpro.matrix","HiCData"
"WT yeast HiC-Pro bed file @ 1kb","Hi-C performed on wild-type S288C yeast strain processed with `nf-core/hic` and represented as a single resolution bed file. Data representation derived from SRA run results SRR13994279.",3.16,"S288C","TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/S288C.hicpro.bed","HiCData"
"WT yeast HiC-Pro bed file @ 1kb","Hi-C performed on wild-type S288C yeast strain processed with `nf-core/hic` and represented as a single resolution bed file. Data representation derived from SRA run results SRR13994279.",3.16,"S288C","TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5918358","Aug 17 2022","Saccharomyces cerevisiae",4932,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","HiContactsData/S288C.hicpro.allValidPairs","HiCData"
